Zmienna;Jednostka terytorialna;Jednostka;Rok;Miesiąc;Wartość
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2010;1;3357,83
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2010;2;3373,78
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2010;3;3402,93
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2010;4;3387,02
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2010;5;3431,96
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2010;6;3406,74
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2010;7;3423,22
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2010;8;3446,78
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2010;9;3462,66
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2010;10;3478,68
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2010;11;3488,26
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2010;12;3508,36
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2011;1;3514,36
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2011;2;3520,52
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2011;3;3545,19
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2011;4;3583,18
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2011;5;3568,57
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2011;6;3592,49
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2011;7;3621,76
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2011;8;3633,28
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2011;9;3643,85
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2011;10;3656,99
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2011;11;3654,71
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2011;12;3674,99
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2012;1;3778,57
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2012;2;3664,1
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2012;3;3693,17
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2012;4;3701,2
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2012;5;3708,74
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2012;6;3750,08
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2012;7;3711,47
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2012;8;3734,88
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2012;9;3734,27
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2012;10;3739,94
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2012;11;3746,68
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2012;12;3786,34
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2013;1;3772,33
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2013;2;3791,76
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2013;3;3765,86
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2013;4;3794,87
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2013;5;3799,55
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2013;6;3816,8
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2013;7;3831,67
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2013;8;3834,01
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2013;9;3858,47
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2013;10;3861,83
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2013;11;3892,62
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2013;12;3888,58
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2014;1;3900,97
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2014;2;3928,53
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2014;3;3928,76
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2014;4;3934,97
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2014;5;3957,54
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2014;6;3967,96
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2014;7;3968,9
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2014;8;3987,52
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2014;9;3983,5
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2014;10;4007,21
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2014;11;4011,66
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2014;12;4039,08
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2015;1;4043,24
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2015;2;4054,64
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2015;3;4087,9
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2015;4;4071,9
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2015;5;4088,82
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2015;6;4064,87
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2015;7;4092,75
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2015;8;4113,45
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2015;9;4144,24
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2015;10;4152,41
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2015;11;4165,33
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2015;12;4177,74
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2016;1;4212,72
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2016;2;4211,68
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2016;3;4219,3
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2016;4;4245,01
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2016;5;4252,8
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2016;6;4256,47
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2016;7;4306,22
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2016;8;4286,33
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2016;9;4304,23
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2016;10;4315,69
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2016;11;4341,08
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2016;12;4327,51
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;1;4367,8
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;2;4393,32
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;3;4427,3
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;4;4443,69
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;5;4467,39
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;6;4509,28
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;7;4521,82
